X Y Z Doppler RCS Label Mahalanobis_Error
5.603741 1.989012 -1.158138 -0.523141 7.450000 0.000000 0.045552
6.535976 2.762797 -1.156363 -0.505620 8.970000 0.000000 0.195279
6.346798 1.724843 -1.156341 -0.543396 7.560000 0.000000 0.068577
6.354487 1.798962 -1.154290 -0.563636 8.090000 0.000000 0.426084
5.499320 1.485506 -1.154242 -0.548878 8.360000 0.000000 0.196972
5.674623 0.319036 -1.154222 -0.543000 6.970000 0.000000 0.161738
5.554566 0.869709 -1.154060 -0.563496 8.110000 0.000000 0.257792
5.748724 1.465663 -1.152278 -0.563751 8.550000 0.000000 0.399458
6.129277 0.698660 -1.151699 -0.563548 6.940000 0.000000 0.185307
5.187187 3.693156 -1.151401 -0.488898 9.120000 0.000000 0.491278
6.614481 1.486351 -1.151191 -0.547497 8.010000 0.000000 0.038352
5.657918 2.538670 -1.148657 -0.508301 8.510000 0.000000 0.044835
4.468951 4.526319 -1.146527 -0.539374 7.010000 1.000000 2.328645
5.619389 1.555509 -1.146022 -0.538343 8.310000 0.000000 0.026611
6.069417 3.220800 -1.145603 -0.444628 7.530000 0.000000 0.868563
5.352768 3.174256 -1.143064 -0.507030 7.950000 0.000000 0.391321
5.696386 0.357881 -1.141399 -0.603511 7.070000 0.000000 0.837245
5.345402 3.415962 -1.141207 -0.489205 8.030000 0.000000 0.246257
6.070227 1.913506 -1.139841 -0.527959 7.650000 0.000000 0.086416
6.129925 0.573498 -1.138574 -0.521244 7.580000 0.000000 0.533056
5.739076 3.646723 -1.137221 -0.487441 6.690000 0.000000 0.189214
6.034821 0.067958 -1.135549 -0.542989 7.670000 0.000000 0.191392
5.891358 1.414662 -1.134589 -0.514853 7.970000 0.000000 0.449053
5.051396 3.118903 -1.133885 -0.436247 7.570000 0.000000 0.688976
6.136549 3.006317 -1.132987 -0.456131 7.390000 0.000000 0.808775
5.575048 2.461543 -1.131591 -0.508830 8.740000 0.000000 0.056661
5.838512 1.645491 -1.131557 -0.491174 8.290000 0.000000 0.759212
6.245889 0.672942 -1.128696 -0.563551 6.940000 0.000000 0.169610
5.795352 0.602392 -1.127750 -0.601771 8.410000 0.000000 0.821068
5.564138 0.890511 -1.127647 -0.573141 8.300000 0.000000 0.413076
5.283272 2.081645 -1.126531 -0.510331 8.040000 0.000000 0.148437
5.647150 3.620962 -1.125436 -0.479395 7.790000 0.000000 0.076262
5.201289 2.648335 -1.124694 -0.480164 7.170000 0.000000 0.314149
5.478693 3.427669 -1.123359 -0.507925 8.110000 0.000000 0.503167
5.643468 3.600290 -1.121904 -0.486912 7.970000 0.000000 0.189488
